,ship_id,ship_time,ship_lat,ship_lon,turtle_id,turtle_time,turtle_lat,turtle_lon
15,[HB1205],2012-08-10 04:21:36,38.3767,-74.1783,118947,2012-08-09 20:00:00,38.372685087,-74.22922305
16,[HB1205],2012-08-10 04:21:36,38.3767,-74.1783,118947,2012-08-10 16:00:00,38.427677652,-74.17593103
17,[HB1205],2012-08-10 04:21:36,38.3767,-74.1783,118947,2012-08-11 04:00:00,38.425846323,-74.21167
18,[HB1205],2012-08-10 04:21:36,38.3767,-74.1783,118947,2012-08-11 12:00:00,38.412811351,-74.13697796
19,[HB1205],2012-08-10 04:21:36,38.3767,-74.1783,118954,2012-08-07 12:00:00,38.460516718,-74.19830453
20,[HB1205],2012-08-10 04:21:36,38.3767,-74.1783,118889,2012-08-12 20:00:00,38.421814333,-74.17854271
21,[HB1205],2012-08-10 04:21:36,38.3767,-74.1783,118889,2012-08-13 00:00:00,38.431989265,-74.16214976
22,[HB1205],2012-08-09 18:57:35,39.0983,-73.5,118942,2012-08-09 12:00:00,39.056215746,-73.5565255
23,[HB1205],2012-08-09 18:57:35,39.0983,-73.5,118942,2012-08-10 20:00:00,39.103468867,-73.5190439
24,[HB1205],2012-08-09 18:57:35,39.0983,-73.5,118942,2012-08-12 00:00:00,39.109701733,-73.48381836
25,[HB1205],2012-08-09 18:57:35,39.0983,-73.5,118898,2012-08-07 12:00:00,39.077348177,-73.48908105
26,[HB1205],2012-08-09 18:57:35,39.0983,-73.5,118898,2012-08-07 16:00:00,39.065047792,-73.54711815
27,[HB1205],2012-08-09 18:57:35,39.0983,-73.5,118898,2012-08-08 08:00:00,39.063321705,-73.47824291
28,[HB1205],2012-08-09 18:57:35,39.0983,-73.5,118898,2012-08-10 04:00:00,39.068157594,-73.56259898
29,[HB1206],2012-09-08 06:06:00,38.0,-74.3433,118945,2012-09-06 00:00:00,38.03274562,-74.44328246
30,[HB1206],2012-09-08 06:06:00,38.0,-74.3433,118949,2012-09-08 04:00:00,38.070071783,-74.40192885
31,[HB1206],2012-09-08 06:06:00,38.0,-74.3433,118949,2012-09-10 00:00:00,38.032563875,-74.42712508
32,[HB1206],2012-09-08 06:06:00,38.0,-74.3433,118895,2012-09-07 16:00:00,38.046039707,-74.37393656
33,[HB1206],2012-09-08 06:06:00,38.0,-74.3433,118895,2012-09-08 16:00:00,38.042654541,-74.35411746
34,[HB1205],2012-08-09 20:02:23,38.94,-73.7183,118941,2012-08-09 20:00:00,38.877777949,-73.64203793
35,[HB1205],2012-08-09 20:02:23,38.94,-73.7183,118941,2012-08-10 08:00:00,38.89211039,-73.64922767
36,[HB1205],2012-08-09 20:08:24,38.9083,-73.6483,118941,2012-08-09 20:00:00,38.877777949,-73.64203793
37,[HB1205],2012-08-09 20:08:24,38.9083,-73.6483,118941,2012-08-10 08:00:00,38.89211039,-73.64922767
38,[HB1205],2012-08-09 20:08:24,38.9083,-73.6483,118886,2012-08-10 12:00:00,38.838772339,-73.71240547
39,[HB1205],2012-08-09 20:08:24,38.9083,-73.6483,118891,2012-08-07 16:00:00,38.84286836,-73.6856499
40,[HB1205],2012-08-09 20:08:24,38.9083,-73.6483,118891,2012-08-08 04:00:00,38.869152438,-73.62049237
41,[HB1205],2012-08-09 20:08:24,38.9083,-73.6483,118885,2012-08-07 08:00:00,38.852669321,-73.64622047
